,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1702049345.7122948,-940337,-1051422,-940337,-1051422,128.16529551839906,614.4568219311382,127.60519899956161,611.7715776491542,Max Werner,CMJ,double,both,0.0
1,1702049345.72659,-939321,-1052478,-939321,-1052478,128.03977651192648,613.8550520877719,127.73842257483577,612.4102851427715,Max Werner,CMJ,double,both,0.014295101165771484
2,1702049345.740884,-936760,-1052570,-936760,-1052570,127.72338460683169,612.3381893231448,127.75002917419677,612.4659301138063,Max Werner,CMJ,double,both,0.028589248657226562
3,1702049345.755164,-936175,-1052569,-936175,-1052569,127.65111234424658,611.9916978286868,127.74990301550807,612.4653252771647,Max Werner,CMJ,double,both,0.04286909103393555
4,1702049345.769676,-935551,-1053030,-935551,-1053030,127.57402193082247,611.622106901265,127.80806217100181,612.7441549689804,Max Werner,CMJ,double,both,0.05738115310668945
5,1702049345.78413,-934979,-1054239,-934979,-1054239,127.50335571851704,611.283315217795,127.96058802564808,613.4754024687752,Max Werner,CMJ,double,both,0.07183527946472168
6,1702049345.798153,-933004,-1055028,-933004,-1055028,127.25935961833656,610.1135362407789,128.06012723103757,613.9526185790629,Max Werner,CMJ,double,both,0.08585810661315918
7,1702049345.8125272,-931918,-1055918,-931918,-1055918,127.1251926488196,609.4703058767083,128.17240846398644,614.4909231901609,Max Werner,CMJ,double,both,0.10023236274719238
8,1702049345.826601,-930574,-1057422,-930574,-1057422,126.95915175836768,608.6742638791843,128.36215113180114,615.400597499252,Max Werner,CMJ,double,both,0.11430621147155762
9,1702049345.840638,-929247,-1058266,-929247,-1058266,126.79521108751224,607.88829086526,128.4686290650695,615.9110796248324,Max Werner,CMJ,double,both,0.1283431053161621
10,1702049345.855188,-926252,-1059273,-926252,-1059273,126.42520181154235,606.1143728722659,128.59567086459705,616.5201501230072,Max Werner,CMJ,double,both,0.14289307594299316
11,1702049345.869334,-925331,-1060570,-925331,-1060570,126.31141932634426,605.568870878427,128.7592986838495,617.3046232472699,Max Werner,CMJ,double,both,0.15703916549682617
12,1702049345.8834949,-924837,-1063094,-924837,-1063094,126.25038941571685,605.2762780608848,129.07772321414492,618.8312309308776,Max Werner,CMJ,double,both,0.17120003700256348
13,1702049345.8976839,-924434,-1063990,-924434,-1063990,126.20060185704712,605.0375839202582,129.19076139922603,619.3731645618255,Max Werner,CMJ,double,both,0.18538904190063477
14,1702049345.911981,-922159,-1065219,-922159,-1065219,125.91954305810505,603.6901169973661,129.34581042764643,620.1165087944539,Max Werner,CMJ,double,both,0.19968628883361816
15,1702049345.926188,-920790,-1066626,-920790,-1066626,125.75041360942299,602.8792676710193,129.5233157026566,620.9675139493017,Max Werner,CMJ,double,both,0.21389317512512207
16,1702049345.940379,-919130,-1069216,-919130,-1069216,125.54533334294219,601.8960610371728,129.85006670640666,622.5340408512606,Max Werner,CMJ,double,both,0.22808408737182617
17,1702049345.95458,-917170,-1070085,-917170,-1070085,125.30319037769979,600.7351664574504,129.9596986068927,623.0596438928831,Max Werner,CMJ,double,both,0.24228525161743164
18,1702049345.9687848,-915095,-1070691,-915095,-1070691,125.04684004459878,599.5061581651423,130.03615077224887,623.426174897743,Max Werner,CMJ,double,both,0.25648999214172363
19,1702049345.9832268,-914562,-1072979,-914562,-1072979,124.98099198313236,599.1904659146361,130.32480185200956,624.8100411339135,Max Werner,CMJ,double,both,0.2709319591522217
20,1702049345.9975832,-914201,-1074247,-914201,-1074247,124.93639320228924,598.9766480864322,130.4847710692895,625.5769739955674,Max Werner,CMJ,double,both,0.28528833389282227
21,1702049346.011699,-913399,-1075047,-913399,-1075047,124.83731225426659,598.5016289777907,130.5856980202548,626.060843308914,Max Werner,CMJ,double,both,0.2994041442871094
22,1702049346.025802,-912362,-1075738,-912362,-1075738,124.70919885888068,597.8874209782131,130.67287367415105,626.4787854283168,Max Werner,CMJ,double,both,0.313507080078125
23,1702049346.041211,-911569,-1077604,-911569,-1077604,124.61122979182088,597.4177325079478,130.90828578727755,627.6074106016972,Max Werner,CMJ,double,both,0.328916072845459
24,1702049346.0540009,-911019,-1078537,-911019,-1078537,124.54328151075796,597.0919712738421,131.02599184384079,628.1717231883873,Max Werner,CMJ,double,both,0.3417060375213623
25,1702049346.0685608,-909880,-1079302,-909880,-1079302,124.40256679779313,596.4173493726668,131.12250324070132,628.6344232192748,Max Werner,CMJ,double,both,0.3562660217285156
26,1702049346.082774,-909691,-1080503,-909691,-1080503,124.37921729757332,596.3054059667649,131.27401982583794,629.360832025936,Max Werner,CMJ,double,both,0.37047910690307617
27,1702049346.0969431,-909717,-1080276,-909717,-1080276,124.38242939813266,596.3208055887408,131.24538180350154,629.223534108274,Max Werner,CMJ,double,both,0.38464832305908203
28,1702049346.1112409,-909588,-1079685,-909588,-1079685,124.36649243766517,596.2443997720142,131.17082201847595,628.8660756530394,Max Werner,CMJ,double,both,0.39894604682922363
29,1702049346.125448,-908333,-1079255,-908333,-1079255,124.21144681451251,595.5010718651001,131.11657378233213,628.6059958971157,Max Werner,CMJ,double,both,0.41315317153930664
30,1702049346.139652,-907263,-1077563,-907263,-1077563,124.07925652226284,594.8673181914762,130.90311328104056,627.5826122993881,Max Werner,CMJ,double,both,0.42735719680786133
31,1702049346.1540291,-906001,-1077302,-906001,-1077302,123.92334610280575,594.1198442324917,130.87018586328816,627.424749935909,Max Werner,CMJ,double,both,0.44173431396484375
32,1702049346.1684968,-905372,-1076883,-905372,-1076883,123.84563797773562,593.7472918393053,130.8173253727201,627.1713233830437,Max Werner,CMJ,double,both,0.45620203018188477
